"","call_detail","call_group","call_source","civil_age","civil_age_f","civil_drug","civil_etoh","civil_id","civil_instance","civil_mental","civil_race","civil_sex","civil_transient","force1","force2","force3","force4","force5","force6","force7","force8","force1_any","force2_any","force3_any","force4_any","force5_any","force6_any","force7_any","force8_any","force_officer_sum","incid_force_lev","incid_force_calc","incid_day","incid_disp","incid_id","incid_month","incid_sixhour","incid_year","officer_id","officer_precinct","officer_precinct_collapsed","officer_tenure","officer_tenure_f","resist1","resist2","resist3","resist4","resist5","resist6","resist7","resist8","threat_biohaz","threat_blunt","threat_gun","threat_gun_implied","threat_gun_replica","threat_knife","threat_other","threat_unused_weapon","threat_unarmed","threat_sum","recordcount_1","recordcount_2"
"60","DISTURBANCE - PRIORITY","Disturbance","Dispatched",34,"25-34","1","0",4045120,953583157,"0","White","Male","Yes","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Saturday","Arrest-Felony",949538037,"July","0600-1159",2019,606401,"Central Precinct","Central Precinct",0,"[0-2]","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"61","DISTURBANCE - PRIORITY","Disturbance","Dispatched",34,"25-34","1","0",467645,683015349,"1","White","Female","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Misdemeanor",682547704,"June","1200-1759",2020,639411,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"62","THEFT - PRIORITY","Theft","Dispatched",34,"25-34","0","0",623827,181171946,"0","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Warrant",180548119,"August","0600-1159",2020,414482,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"63","ECIT","Behavioral Health","Dispatched",35,"35-49","0","0",4018104,887564620,"0","White","Male","Yes","Control Against Resistance","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Wednesday","Arrest-Felony",883546516,"March","1200-1759",2020,256472,"Central Precinct","Central Precinct",0,"[0-2]","Active","Active","Aggressive",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"64","UNWANTED PERSON - WITH WEAPON *H","Unwanted Person","Dispatched",35,"35-49","0","0",620822,396176993,"0","Black","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Arrest-Misdemeanor",395556171,"February","1200-1759",2021,1112552,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"65","DISTURBANCE - PRIORITY","Disturbance","Dispatched",36,"35-49","1","0",405516,321953317,"0","Black","Male","Yes","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Sunday","Arrest-Misdemeanor",321547801,"July","0600-1159",2020,573502,"Training","Other",0,"[0-2]","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"66","ASSAULT - PRIORITY","Assault","Dispatched",36,"35-49","0","0",3444545,663982719,"0","White","Male","No","Control Against Resistance","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Tuesday","Arrest-Misdemeanor",660538174,"July","1200-1759",2019,490391,"Training","Other",0,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"67","UNWANTED PERSON","Unwanted Person","Dispatched",37,"35-49","1","0",4179048,172734777,"0","Black","Male","Yes","Control Against Resistance","Takedown (II and III)","Control Against Resistance","Strikes/kicks","Strikes/kicks","Strikes/kicks","Strikes/kicks","Strikes/kicks",1,1,1,1,1,1,1,1,8,"II","3","Wednesday","Arrest-Felony",168555729,"January","1200-1759",2021,174161,"Central Precinct","Central Precinct",0,"[0-2]","Aggressive","Aggressive","Aggressive","Aggressive","Aggressive","Aggressive","Aggressive","Aggressive",1,0,0,0,0,0,0,0,0,1,1,1
"68","UNWANTED PERSON","Unwanted Person","Dispatched",37,"35-49","1","0",4179048,172734777,"0","Black","Male","Yes","Strikes/kicks","Strikes/kicks","Strikes/kicks","Strikes/kicks","Strikes/kicks","Resisted HC",NA,NA,1,1,1,1,1,1,0,0,6,"II","3","Wednesday","Arrest-Felony",168555729,"January","1200-1759",2021,174161,"Central Precinct","Central Precinct",0,"[0-2]","Aggressive","Aggressive","Aggressive","Aggressive","Aggressive","Aggressive","None","None",1,0,0,0,0,0,0,0,0,1,1,1
"69","SEX OFFENSE - PRIORITY","Sex Offense","Dispatched",37,"35-49","0","1",566575,254113485,"0","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Cite and Release",253546910,"April","1800-2359",2020,1031451,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"70","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",37,"35-49","1","0",4156814,350705275,"1","Hispanic","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Release to Medical",346548461,"September","1200-1759",2020,648512,"North Precinct","North Precinct",0,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"71","UNWANTED PERSON","Unwanted Person","Dispatched",38,"35-49","0","1",572326,517108489,"0","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Arrest-Misdemeanor",516536163,"February","1800-2359",2019,591301,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"72","UNWANTED PERSON","Unwanted Person","Dispatched",38,"35-49","0","0",1813173,669359247,"0","Black","Female","Yes","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Tuesday","Arrest-Misdemeanor",667546074,"February","0600-1159",2020,544502,"Central Precinct","Central Precinct",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"73","UNWANTED PERSON","Unwanted Person","Dispatched",38,"35-49","1","0",385610,153923329,"0","Black","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Arrest-Misdemeanor",153537719,"June","0600-1159",2019,905331,"North Precinct","North Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"74","DRIVING UNDER INFLUENCE","DUII","Dispatched",39,"35-49","0","1",4145884,536694807,"0","Native American","Male","No","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Tuesday","Arrest-Misdemeanor",532548923,"October","1800-2359",2020,830532,"Training","Other",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"75","WELFARE CHECK - COLD","Welfare Check","Dispatched",39,"35-49","0","0",1365802,700922326,"1","White","Female","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Release to Medical",699556524,"March","1200-1759",2021,228572,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"76","ECIT","Behavioral Health","Dispatched",40,"35-49","1","1",509692,229057732,"1","White","Female","Yes","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Wednesday","Release to Medical",228548040,"July","1200-1759",2020,578502,"Training","Other",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"77","TRAFFIC STOP","Traffic Stop","Self-Initiated",40,"35-49","0","1",377545,583923568,"0","Hispanic","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Detained and Released",583546023,"January","1800-2359",2020,954441,"East Precinct","East Precinct",0,"[0-2]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"78","DISTURBANCE - PRIORITY","Disturbance","Dispatched",40,"35-49","1","0",692791,802231636,"0","White","Female","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Misdemeanor",801538845,"September","0600-1159",2019,750421,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"79","SUSPICIOUS - PRIORITY","Suspicious","Dispatched",41,"35-49","1","0",3776035,121325424,"0","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Wednesday","Arrest-Cited",117549389,"December","0600-1159",2020,935542,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"80","ASSIST - CITIZEN OR AGENCY","Assist","Self-Initiated",41,"35-49","0","0",592379,947138916,"0","Black","Female","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Misdemeanor",946546537,"March","0600-1159",2020,312472,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"81","ASSIST - CITIZEN OR AGENCY","Assist","Self-Initiated",41,"35-49","0","0",592379,947138916,"0","Black","Female","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Misdemeanor",946546537,"March","0600-1159",2020,340482,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"82","WARRANT","Warrant","Self-Initiated",42,"35-49","0","0",351741,163889810,"0","Black","Male","Yes","Resisted HC","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Monday","Arrest-Warrant",163538069,"July","1800-2359",2019,313371,"Training","Other",0,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"83","FIRE RELATED","Assist","Dispatched",43,"35-49","1","0",368953,326918444,"0","White","Female","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Arrest-Misdemeanor",326549491,"December","1800-2359",2020,864331,"North Precinct","North Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"84","ECIT","Behavioral Health","Dispatched",43,"35-49","1","0",4140659,562688372,"1","White","Male","No","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"II","3","Friday","Release to Medical",558547713,"June","1200-1759",2020,558502,"Central Precinct","Central Precinct",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,2,1,1
"85","AREA CHECK","Area/Premise Check","Self-Initiated",44,"35-49","1","0",276948,743825753,"0","White","Male","No","Box-in VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Misdemeanor",743548805,"October","0600-1159",2020,578502,"Central Precinct","Central Precinct",0,"[0-2]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"86","ROBBERY - COLD","Robbery","Dispatched",45,"35-49","0","0",327631,567867644,"1","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Thursday","Arrest-Warrant",567540013,"December","1800-2359",2019,491391,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,1,1,1
"87","DISTURBANCE - PRIORITY","Disturbance","Dispatched",45,"35-49","0","1",327631,972866888,"0","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Arrest-Misdemeanor",972539257,"October","1800-2359",2019,441391,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"88","DISTURBANCE - PRIORITY","Disturbance","Dispatched",46,"35-49","0","0",3537504,561085757,"0","White","Male","Yes","Takedown (II and III)","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Thursday","Arrest-Misdemeanor",557548253,"August","0600-1159",2020,544502,"East Precinct","East Precinct",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"89","DISTURBANCE - PRIORITY","Disturbance","Dispatched",47,"35-49","1","0",441143,61997561,"0","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Misdemeanor",61556418,"March","1800-2359",2021,935542,"North Precinct","North Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"90","UNWANTED PERSON","Unwanted Person","Self-Initiated",50,"50-64","0","1",219227,469756669,"0","White","Male","No","Resisted HC","Takedown (II and III)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Wednesday","Release to Medical",469537442,"May","0000-0559",2019,1064351,"East Precinct","East Precinct",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"91","VEHICLE STOLEN - PRIORITY","Stolen Vehicle","Dispatched",51,"50-64","0","0",241185,478778657,"0","White","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Detained and Released",478537472,"May","0600-1159",2019,1064351,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"92","VEHICLE STOLEN - COLD","Stolen Vehicle","Self-Initiated",52,"50-64","0","0",246807,320782498,"0","White","Male","No","Box-in VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Arrest-Felony",320535691,"February","0600-1159",2019,892331,"Training","Other",0,"[0-2]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"93","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",52,"50-64","1","0",156116,755712591,"1","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Release to Medical",755556475,"March","1200-1759",2021,1012542,"Central Precinct","Central Precinct",0,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"94","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",52,"50-64","1","0",156116,755712591,"1","White","Male","Yes","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Thursday","Release to Medical",755556475,"March","1200-1759",2021,984542,"East Precinct","East Precinct",0,"[0-2]","Aggressive","Active",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"95","UNWANTED PERSON","Unwanted Person","Dispatched",63,"50-64","1","0",4189264,609745577,"0","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Arrest-Misdemeanor",605556313,"March","1200-1759",2021,1112552,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,1,1,1
"96","SUSPICIOUS - PRIORITY","Suspicious","Dispatched",NA,NA,"0","0",132416,972678983,"0","White","Male","No","Box-in VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Escaped",972546567,"March","0600-1159",2020,998141,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"97","UNWANTED PERSON","Unwanted Person","Dispatched",NA,NA,"1","0",129658,214675498,"1","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Release to Medical",214545840,"January","0600-1159",2020,544502,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"98","DISTURBANCE - WITH WEAPON *H","Disturbance","Dispatched",28.78087519,"25-34","1","0",3801401,3801401383519981,"0","White","Male","Yes","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Sunday","Arrest-Misdemeanor",383519981,"December",NA,2017,750920,"Central Precinct","Central Precinct",5.327245053e-05,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"99","ECIT","Behavioral Health","Dispatched",40.704528158,"35-49","1","1",262794,262794195518659,"1","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Release to Medical",195518659,"September",NA,2017,774420,"Central Precinct","Central Precinct",0.000418569,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"100","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",27.68841895,"25-34","1","1",276760,276760986518917,"0","Black","Male","No","Box-in VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Arrest-Felony",986518917,"October",NA,2017,916731,"East Precinct","East Precinct",0.000747717,"[0-2]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"101","UNDESCRIBED INCIDENT","Other","Self-Initiated",22.782224125,"15-24","1","0",604222,604222385519201,"0","White","Male","Yes","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Wednesday","Arrest-Felony",385519201,"October",NA,2017,672710,"East Precinct","East Precinct",0.001402207,"[0-2]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"102","UNWANTED PERSON","Unwanted Person","Dispatched",46.39335997,"35-49","1","0",244163,244163707519434,"1","Black","Female","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Release to Medical",707519434,"November",NA,2017,651809,"North Precinct","North Precinct",0.001579148,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"103","DISTURBANCE - WITH WEAPON *H","Disturbance","Dispatched",17.434731735,"15-24","0","0",550374,550374715518435,"1","Hispanic","Male","No","Takedown","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Wednesday","Release to Medical",715518435,"August",NA,2017,813721,"Central Precinct","Central Precinct",0.001855023,"[0-2]","Aggressive","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"104","SUSPICIOUS - PRIORITY","Suspicious","Dispatched",32.117370624,"25-34","1","1",499638,499638288525950,"0","Hispanic","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Arrest-Misdemeanor",288525950,"January","1800-2359",2018,283071,"Central Precinct","Central Precinct",0.002302131,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"105","WELFARE CHECK - COLD","Welfare Check","Dispatched",31.375201674,"25-34","1","0",522269,522269638519974,"0","White","Female","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Misdemeanor",638519974,"December",NA,2017,805020,"East Precinct","East Precinct",0.002598935,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"106","PERSON CONTACT (86)","Subject Stop","Self-Initiated",32.978025114,"25-34","0","1",625331,625331316519981,"0","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Misdemeanor",316519981,"December",NA,2017,927141,"Central Precinct","Central Precinct",0.002682648,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"107","DISTURBANCE - PRIORITY","Disturbance","Dispatched",31.059969559,"25-34","1","0",3546019,3546019309518680,"0","White","Male","Yes","Takedown","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Monday","Arrest-Felony",309518680,"September",NA,2017,461691,"Central Precinct","Central Precinct",0.02435312,"[0-2]","Aggressive","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"108","THREAT - WITH WEAPON *H","Threat","Dispatched",42.711211948,"35-49","0","0",295488,29548885518688,"0","White","Male","Yes","CEW",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Tuesday","Arrest-Misdemeanor",85518688,"September",NA,2017,809721,"Central Precinct","Central Precinct",0.179705099,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,1,1
"109","ACCIDENT - HIT & RUN - PRIORITY","Collision","Dispatched",25.838984018,"25-34","0","1",3847900,3847900320519071,"0","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Misdemeanor",320519071,"October",NA,2017,599201,"North Precinct","North Precinct",0.21706621,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"110","UNWANTED PERSON","Unwanted Person","Self-Initiated",35.185721081,"35-49","1","1",535640,535640511517772,"0","White","Male","Yes","Takedown",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,NA,NA,"Sunday","Arrest-Misdemeanor",511517772,"July",NA,2017,214861,"Central Precinct","Central Precinct",0.248734779,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"111","WARRANT","Warrant","Dispatched",51.65402207,"50-64","0","0",245159,245159725525855,"0","Black","Male","Yes","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Tuesday","Arrest-Warrant",725525855,"January","1200-1759",2018,955241,"Central Precinct","Central Precinct",0.401967275,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"112","DETAIL","Other","Dispatched",34.993959285,"35-49","1","1",496309,809527855496309,"0","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Misdemeanor",809527855,"June","1800-2359",2018,483291,"Central Precinct","Central Precinct",0.407657915,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"113","UNDESCRIBED INCIDENT","Other","Self-Initiated",19.95,"15-24","0","0",1558320,1895297391558320,"0","Native American","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Thursday","Arrest-Felony",189529739,"November","1200-1759",2018,905331,"East Precinct","East Precinct",0.419444444,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"114","DISTURBANCE - PRIORITY","Disturbance","Dispatched",23.478820396,"15-24","1","0",510800,321527571510800,"0","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Wednesday","Arrest-Misdemeanor",321527571,"June","1800-2359",2018,349281,"Central Precinct","Central Precinct",0.421286149,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"115","DISTURBANCE - PRIORITY","Disturbance","Dispatched",40.520585997,"35-49","1","0",1856735,1856735156519209,"0","Black","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Thursday","Arrest-Felony",156519209,"October",NA,2017,554201,"East Precinct","East Precinct",0.42195586,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"116","UNWANTED PERSON","Unwanted Person","Dispatched",35.141666667,"35-49","0","1",3576246,3025297503576246,"0","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Misdemeanor",302529750,"November","1200-1759",2018,905331,"East Precinct","East Precinct",0.422222222,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"117","PERSON CONTACT (86)","Subject Stop","Self-Initiated",30.903466514,"25-34","0","1",3862879,7795279353862879,"0","Black","Male","Yes","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Thursday","Arrest-Misdemeanor",779527935,"July","1800-2359",2018,506291,"Central Precinct","Central Precinct",0.42401446,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
